00:00:00$00:00:48$01:04:12$00:00:48$1$0$52,33$41,025273$28,888141$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:49$01:04:11$00:00:49$1$0$52,34$41,025273$28,888141$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:49$01:04:11$00:00:49$1$0$52,35$41,025263$28,888151$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:50$01:04:10$00:00:50$1$0$52,35$41,025267$28,888145$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:50$01:04:10$00:00:50$1$0$52,36$41,025267$28,888145$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:51$01:04:09$00:00:51$1$0$52,37$41,025267$28,888145$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:51$01:04:09$00:00:51$1$0$52,37$41,025266$28,888141$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:52$01:04:08$00:00:52$1$0$52,38$41,025266$28,888141$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:52$01:04:08$00:00:52$1$0$52,39$41,025267$28,888147$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:53$01:04:07$00:00:53$1$0$52,4$41,02527$28,888131$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:53$01:04:07$00:00:53$1$0$52,4$41,02527$28,888131$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:54$01:04:06$00:00:54$1$0$52,41$41,02527$28,888131$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:54$01:04:06$00:00:54$1$0$52,42$41,025273$28,888122$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:55$01:04:05$00:00:55$1$0$52,42$41,02528$28,888108$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:55$01:04:05$00:00:55$1$0$52,43$41,02528$28,888108$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:56$01:04:04$00:00:56$1$0$52,44$41,02528$28,888108$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
00:00:00$00:00:56$01:04:04$00:00:56$1$0$52,44$41,025284$28,8881$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$194$0$2$0$56000$0$0$
